epoch,accuracy,loss
0,0.8974999785423279,0.08721499890089035
1,1.0,0.0056668492034077644
2,1.0,0.0022131754085421562
3,1.0,0.0013224779395386577
4,1.0,0.0009263338288292289
5,1.0,0.0007054037996567786
6,1.0,0.0005662199109792709
7,1.0,0.0004707113839685917
8,1.0,0.00040155526949092746
9,1.0,0.0003492492833174765
